`acidity,alcohol,body,classes,food_matching,grape,label2,name_en,name_ko,png,price,sweet,tanin,vintage,winery
5,알콜정보없음,5,스파클링,해산물,피노 누아 (Pinot Noir) ,지에이치멈  G.H.Mumm,"G.H.MUMM, Grand Cordon","멈, 그랑 꼬르동",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168044.png,"105,000원",1,1,"NV, ",샹파뉴(Champagne)
4,12~13 %,4,레드,"닭고기,스테이크,돼지고기, 돼지,피자, 파스타,샐러드",산지오베제 (Sangiovese) ,몬도 델 비노  MGM Mondo del Vino ,Il Padrino Rosso Collection,일 파드리노 로쏘 안드레아 마리아니 컬렉션 ,https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168043.png,"70,000원",1,3,"NV, ",생산지역미상
4,14~15 %,4,화이트,디저트,베르두초 프리울라노 (Verduzzo Friulano) ,데니스 몬타나  Denis Montanar,"Denis Montanar, Borc Scodovacca Verduzzo","데니스 몬타나, 베르두쪼",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168041.png,"258,000원",2,1,2012,프리울리 베네찌아 줄리아(Friuli Venezia Giulia)
5,14~15 %,5,레드,추천 정보 없음,토카이 프리울라노  (Tocai Friulano) ,데니스 몬타나  Denis Montanar,"Denis Montanar, Borc Dodon Uis Blancis","데니스 몬타나, 우이스 블랑시스",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168040.png,"190,000원",1,1,2016,프리울리 베네찌아 줄리아(Friuli Venezia Giulia)
4,12~13 %,4,레드,추천 정보 없음,카베르네 프랑 (Cabernet Franc) ,데니스 몬타나  Denis Montanar,"Denis Montanar, RW Treottouno","데니스 몬타나, RW 381",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168039.png,"170,000원",1,3,2018,프리울리 베네찌아 줄리아(Friuli Venezia Giulia)
4,12~13 %,4,화이트,추천 정보 없음,모스카토 지알로 (Moscato Giallo) ,데니스 몬타나  Denis Montanar,"Denis Montanar, OW Centottanta","데니스 몬타나, OW 180",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168038.png,"170,000원",1,1,2019,프리울리 베네찌아 줄리아(Friuli Venezia Giulia)
4,12~13 %,4,화이트,"식전주,해산물,파스타,샐러드",팔랑기나 (Falanghina) ,파토리아 파가노  Fattoria Pagano,"Fattoria Pagano, Falanghina Campania","파토리아 파가노, 팔랑기나",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168037.png,"50,000원",1,1,2019,깜빠니아(Campania)
4,13~14 %,4,레드,추천 정보 없음,시라/쉬라즈 (Syrah/Shiraz) ,카스텔 다쥐  Castell d’Age,"Castell D'age, 100% Syrah","카스텔 다쥐, 100% 시라",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168036.png,"90,000원",1,3,2018,페네데스(Penedes)
4,14~15 %,4,레드,추천 정보 없음,가르나차 (Garnatxa) ,카스텔 다쥐  Castell d’Age,"Castell D'age, 100% Garnatxa","카스텔 다쥐, 100% 가르나차",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168035.png,"90,000원",1,3,2018,페네데스(Penedes)
4,14~15 %,4,화이트,"한식,해산물,푸아그라,파스타",가르나차 블랑카  (Garnacha Blanca) ,카스텔 다쥐  Castell d’Age,"Castell D'age, 100% Orange","카스텔 다쥐, 100% 오렌지",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168034.png,"90,000원",1,1,2019,페네데스(Penedes)
5,12~13 %,5,화이트,추천 정보 없음,자렐로 (Xarel.lo) ,카스텔 다쥐  Castell d’Age,"Castell D'age, 100% Xarel.lo","카스텔 다쥐, 100% 자렐로",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168033.png,"90,000원",1,1,2018,페네데스(Penedes)
4,13~14 %,4,레드,"닭고기,스튜,돼지고기, 돼지",템프라니요 (Tempranillo) ,카스텔 다쥐  Castell d’Age,"Castell D'age, Fragments Tempranillo","카스텔 다쥐, 프래그먼츠 템프라니요 ",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168032.png,"74,000원",1,3,2016,페네데스(Penedes)
3,14~15 %,3,레드,"가금류,소고기,돼지,양고기",모나스트렐 (Monastrell) ,보데가 루손  Bodegas Luzon,"Bodegas Luzon, Gran Castillo de Madax Tinto","보데가스 루존, 그랑 까스티요 데 마닥스 레드",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168031.png,"54,000원",1,3,2017,후미야(Jumilla)
4,13~14 %,4,레드,추천 정보 없음,모나스트렐 (Monastrell) ,보데가 루손  Bodegas Luzon,"Bodegas Luzon, Castillo de Madax Tinto","보데가스 루존, 까스티요 데 마닥스 레드",https://wine21.speedgabia.com/no_image2.jpg,가격정보없음,1,3,2018,후미야(Jumilla)
4,12~13 %,4,화이트,"식전주,생선찜,과일,샐러드",마카베오 (Macabeo) ,보데가 루손  Bodegas Luzon,"Bodegas Luzon, Castillo de Madax White","보데가스 루존, 까스티요 데 마닥스 화이트",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168029.png,"45,000원",1,1,2019,후미야(Jumilla)
4,14~15 %,4,레드,"치즈,치킨,소고기,샐러드, 채소",모나스트렐 (Monastrell) ,보데가 루손  Bodegas Luzon,"Bodegas Luzon, Finca la Solana Verdecillo Tinto","보데가스 루존, 베르데치요 레드",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168028.png,"66,000원",1,3,2019,후미야(Jumilla)
4,12~13 %,4,화이트,"해산물, 새우,파스타",마카베오 (Macabeo) ,보데가 루손  Bodegas Luzon,"Bodegas Luzon, Finca la Solana Verdecillo Blanco","보데가스 루존, 베르데치요 화이트",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168027.png,"66,000원",1,1,2019,후미야(Jumilla)
4,14~15 %,4,레드,추천 정보 없음,시라/쉬라즈 (Syrah/Shiraz) ,보데가스 라 푸리시마  Bodegas La Purisima,"Bodegas La Purisima, Consentido Syrah","보데가스 라 푸리시마, 콘센티도 시라",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168026.png,"51,000원",1,3,2019,예클라(Yecla)
3,14~15 %,3,레드,추천 정보 없음,카베르네 소비뇽 (Cabernet Sauvignon) ,보데가스 라 푸리시마  Bodegas La Purisima,"Bodegas La Purisima, Consentido Cabernet Sauvignon","보데가스 라 푸리시마, 콘센티도 까베르네 소비뇽",https://wine21.speedgabia.com/WINE_MST/TITLE/0168000/W0168025.png,"51,000원",1,3,2019,예클라(Yecla)
